[2026-01-22 00:56:21,213][INFO] copytrade 启动 | poll_interval=60.0s
[2026-01-22 00:56:21,214][INFO] 初始化目标账户状态，忽略已有仓位: account=0x96489abcb9f583d6835c8ef95ffc923d05a86825
[2026-01-22 00:56:21,214][INFO] 初始化目标账户状态，忽略已有仓位: account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5
[2026-01-22 00:56:21,557][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1769061381214
[2026-01-22 00:56:21,559][INFO] no token updates, total=0
[2026-01-22 00:57:21,854][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=1 since_ms=1769061381214
[2026-01-22 00:57:22,146][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1769061381214
[2026-01-22 00:57:22,453][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 00:57:22,453][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=1)
[2026-01-22 00:58:22,788][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 00:58:23,096][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1769061381214
[2026-01-22 00:58:23,418][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 00:58:23,418][INFO] no token updates, total=1
[2026-01-22 00:59:23,740][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 00:59:24,058][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1769061381214
[2026-01-22 00:59:24,354][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 00:59:24,354][INFO] no token updates, total=1
[2026-01-22 01:00:24,688][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 01:00:24,974][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1769061381214
[2026-01-22 01:00:25,217][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 01:00:25,217][INFO] no token updates, total=1
[2026-01-22 01:01:25,536][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 01:01:25,861][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1769061381214
[2026-01-22 01:01:26,113][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061422000
[2026-01-22 01:01:26,113][INFO] no token updates, total=1
[2026-01-22 01:02:26,465][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=4 normalized=2 since_ms=1769061422000
[2026-01-22 01:02:26,767][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1769061381214
[2026-01-22 01:02:27,090][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1769061722000
[2026-01-22 01:02:27,092][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=3)
